iso;Country/Region;unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
LAO;Laos;MtCO2e;19.63;19.55;19.87;19.88;20.24;20.29;20.39;20.Haz;21.78;20.46;20.33;20.85;22.Kas;22.69;27.53;24.57;23.34;29.Eyl;23.89;25.29;29.47;21.79;23.93;25.Nis;25.29;29.99;38.49;39.66;39.97;40.88;43.91;44.86
DNK;Denmark;MtCO2e;70.68;81.57;75.43;78.06;81.76;78.66;92.18;82.50;78.50;75.74;72.02;73.37;72.70;78.23;72.04;68.34;75.99;71.11;67.54;64.61;64.87;57.46;52.35;53.76;49.57;47.53;51.99;49.71;49.16;45.52;43.10;44.36
CHE;Switzerland;MtCO2e;51.95;54.17;54.10;51.73;50.84;51.76;52.38;50.92;52.48;52.61;51.86;52.62;50.95;52.17;52.66;53.38;53.09;51.17;52.79;51.35;52.92;48.96;50.26;51.29;47.48;46.70;47.18;46.20;44.96;44.74;42.28;44.00
SOM;Somalia;MtCO2e;41.94;39.01;37.05;39.03;40.97;41.63;42.08;42.47;42.31;42.38;42.56;43.10;43.49;43.72;44.02;44.46;43.19;42.09;42.11;42.14;42.35;42.50;42.80;42.91;43.05;43.11;43.14;43.08;43.09;43.35;43.52;43.16
DOM;Dominican Republic;MtCO2e;Aðu.50;Eyl.62;11.Eyl;Kas.59;13.57;14.Tem;14.99;16.67;18.61;19.21;19.91;26.Þub;28.45;26.Ara;25.41;26.73;28.65;29.85;30.00;29.49;30.85;31.99;32.80;32.57;32.93;35.36;36.20;35.47;37.94;40.84;39.35;42.28
GIN;Guinea;MtCO2e;18.98;19.30;19.63;19.99;20.40;20.81;20.30;20.74;22.20;21.77;22.21;23.13;24.24;24.58;24.54;25.99;26.37;26.70;27.40;27.82;30.Eki;31.43;32.75;32.89;33.30;33.97;37.64;38.08;37.88;39.72;41.09;41.04
MDG;Madagascar;MtCO2e;53.54;53.57;53.83;54.21;53.97;54.47;55.02;54.41;55.60;55.26;53.96;46.31;43.75;46.36;45.17;49.52;47.98;49.39;48.02;49.20;49.89;37.98;38.54;37.87;38.39;39.28;40.90;40.39;38.90;40.43;40.06;40.43
TUN;Tunisia;MtCO2e;20.98;21.98;23.34;23.52;23.19;23.68;25.Nis;25.54;26.98;28.49;29.84;30.33;30.53;30.31;31.67;32.39;33.53;35.16;35.65;35.96;38.41;42.10;44.74;43.99;46.48;46.87;37.94;38.27;38.85;38.82;36.96;39.98
GTM;Guatemala;MtCO2e;27.91;28.28;29.48;30.13;30.33;31.36;31.61;31.87;35.54;34.19;36.47;33.10;34.42;36.63;34.99;37.59;36.48;38.29;36.79;38.56;38.24;32.79;33.45;34.76;35.72;38.78;35.81;35.20;36.86;38.12;36.71;39.32
NIC;Nicaragua;MtCO2e;29.Ara;27.76;28.66;29.33;29.64;29.Þub;29.Mar;29.87;30.82;31.38;31.95;36.06;36.49;37.71;37.13;37.69;37.79;37.95;37.84;37.89;38.30;26.77;27.13;27.41;28.35;29.27;38.17;38.05;38.06;38.65;38.58;38.94
SVK;Slovakia;MtCO2e;57.28;48.95;46.46;44.04;41.36;41.94;41.95;41.81;40.66;39.21;36.59;38.23;37.78;38.04;37.35;38.17;37.74;36.78;36.81;33.17;34.70;33.99;31.63;32.29;29.64;30.Aðu;37.47;39.40;38.85;37.01;34.95;37.98
LKA;Sri Lanka;MtCO2e;28.20;28.Nis;29.81;30.Ara;30.90;31.02;30.95;28.97;26.48;25.90;25.14;22.76;23.61;24.80;24.92;26.86;25.31;26.24;26.50;25.65;26.93;27.69;29.57;26.68;29.33;31.80;36.55;35.65;35.09;37.63;36.91;37.35
URY;Uruguay;MtCO2e;15.45;17.Haz;18.67;19.20;19.Eyl;19.29;20.62;20.33;19.92;20.98;19.Kas;21.97;22.28;23.17;25.Aðu;25.25;27.38;26.34;28.92;28.47;26.Tem;30.71;31.57;30.57;30.Tem;29.96;35.37;34.61;34.44;34.85;34.25;37.26
SEN;Senegal;MtCO2e;17.80;18.Eyl;18.53;18.78;19.Eki;19.38;20.93;21.41;22.62;24.81;24.78;23.63;23.31;22.60;24.65;25.36;25.91;26.May;27.Oca;27.50;28.53;27.63;27.20;28.48;29.Eyl;29.78;32.01;32.36;32.87;33.94;34.92;36.25
SWE;Sweden;MtCO2e;74.25;74.85;77.43;77.39;79.22;78.83;84.43;78.24;79.08;77.84;73.94;59.23;60.62;61.69;60.37;56.74;55.26;53.32;52.18;48.40;54.18;39.18;36.41;34.63;33.46;33.41;38.52;38.23;36.09;35.38;34.05;36.08
JOR;Jordan;MtCO2e;18.65;19.Eki;21.85;22.58;23.69;23.33;22.56;22.Aðu;21.29;20.35;20.92;21.Þub;21.80;22.39;24.Oca;25.60;26.50;27.89;27.30;28.19;27.77;28.44;32.18;32.46;34.53;35.20;35.59;37.36;36.57;35.62;33.96;35.27
AFG;Afghanistan;MtCO2e;Eyl.24;Eyl.51;Eyl.16;Eyl.29;Eyl.34;Eyl.79;Eki.84;Kas.83;Ara.67;13.59;Kas.82;Ara.73;15.38;16.Tem;15.69;16.76;17.39;18.34;21.47;24.44;28.71;32.20;30.68;30.18;30.92;31.37;31.02;31.90;33.25;33.54;34.50;35.18
NOR;Norway;MtCO2e;35.03;32.41;32.61;35.04;36.96;36.87;37.00;38.73;40.00;42.02;36.46;28.93;28.46;30.51;30.83;29.82;30.15;30.48;30.98;30.May;32.24;35.01;34.67;35.34;35.35;36.17;35.65;35.36;34.81;33.58;32.19;32.48
CUB;Cuba;MtCO2e;43.96;34.78;28.60;25.15;26.59;27.73;30.41;32.64;32.18;32.61;32.97;32.54;31.37;30.48;29.86;29.97;30.92;31.86;31.17;32.03;33.20;30.70;31.75;32.11;29.98;31.98;39.64;38.35;38.79;36.41;32.78;32.12
HND;Honduras;MtCO2e;17.29;17.40;17.71;17.51;18.20;18.97;18.47;18.88;19.43;18.28;18.78;18.82;19.27;22.30;21.56;22.54;22.80;23.54;23.78;23.76;23.69;26.65;26.57;26.91;27.46;28.Mar;27.98;26.63;26.92;27.99;28.Kas;27.84
COG;Congo;MtCO2e;18.55;18.55;18.85;18.41;17.43;18.21;18.33;19.Nis;20.38;20.96;21.14;20.52;18.38;19.91;20.55;22.47;24.00;21.68;22.21;23.38;25.38;25.44;23.37;24.30;23.74;24.57;25.36;25.67;28.35;29.51;28.90;27.72
YEM;Yemen;MtCO2e;21.Aðu;22.89;23.30;25.Ara;31.82;33.18;33.83;35.83;37.26;40.30;43.96;45.41;45.49;48.73;48.82;50.89;51.14;51.00;50.51;52.96;52.78;46.57;42.33;50.73;48.37;27.50;22.56;23.59;26.Tem;27.76;26.64;26.61
NAM;Namibia;MtCO2e;false;19.82;19.77;19.74;19.94;20.May;19.92;19.76;20.47;20.51;21.32;21.Aðu;19.92;20.52;21.Nis;21.84;23.19;22.44;20.93;24.00;23.34;28.60;30.19;22.94;22.17;22.27;22.87;23.Oca;22.30;21.40;24.40;24.85
BEN;Benin;MtCO2e;19.55;19.66;19.74;19.79;20.May;19.84;21.47;21.83;22.86;22.66;22.80;17.19;18.22;18.22;18.33;19.48;19.72;20.44;20.Ara;20.77;21.16;21.29;21.24;21.89;22.41;22.84;24.53;24.70;25.97;26.35;26.94;24.79
LTU;Lithuania;MtCO2e;51.81;53.19;38.62;32.72;30.68;29.Kas;29.89;29.66;30.55;27.79;26.Eyl;26.Þub;26.37;26.54;27.47;28.60;28.73;29.75;29.18;25.59;26.39;19.76;19.69;18.79;18.29;18.55;24.Oca;23.92;24.00;24.Ara;24.Kas;24.46
LBN;Lebanon;MtCO2e;Tem.29;Aðu.79;Aðu.85;Ara.26;13.20;15.50;16.54;18.76;19.Ara;20.Eki;18.93;20.25;20.22;20.91;21.47;20.89;19.95;18.91;22.72;26.15;25.25;25.85;28.49;28.47;30.66;32.81;33.91;35.70;34.21;34.05;29.15;24.37
TTO;Trinidad and Tobago;MtCO2e;21.78;21.66;21.52;16.87;13.Eki;Ara.65;13.76;14.16;14.53;15.00;15.88;17.63;19.39;23.30;24.32;26.53;30.13;30.77;30.41;29.54;32.21;33.18;32.70;33.65;33.61;32.67;29.Nis;29.25;29.Eyl;29.63;26.54;24.33
BIH;Bosnia and Herzegovina;MtCO2e;33.66;30.82;23.56;20.Eki;Eyl.71;Eyl.62;Eki.66;15.56;18.38;18.34;22.Ara;18.78;18.94;19.47;20.53;21.29;23.17;24.28;26.40;26.46;26.49;25.56;23.77;23.54;21.Nis;21.26;25.82;26.Eki;26.Eki;24.37;24.34;24.Oca
PAN;Panama;MtCO2e;13.61;14.Eki;14.77;15.Mar;15.32;15.52;15.51;15.45;16.53;15.67;15.77;15.55;14.82;15.13;15.Kas;16.76;17.29;17.29;17.41;19.00;19.62;20.72;21.42;21.39;21.83;21.73;21.94;21.51;21.56;24.87;21.53;23.Nis
MWI;Malawi;MtCO2e;Kas.61;Kas.79;Kas.79;Kas.94;Kas.55;Kas.75;Kas.77;Kas.69;Kas.94;Kas.96;Kas.95;12.May;Ara.39;Ara.89;Ara.74;13.Haz;13.00;13.56;14.14;13.96;15.16;15.Ara;15.65;15.75;16.33;16.72;17.17;17.27;19.Ara;20.May;21.79;21.99
GAB;Gabon;MtCO2e;16.13;17.28;17.31;17.49;18.68;19.93;20.91;20.82;21.84;20.72;20.Oca;19.45;18.74;20.14;19.83;19.39;17.96;17.24;17.90;17.70;18.53;21.78;21.37;21.47;21.78;22.20;22.54;20.90;20.19;21.13;20.84;20.25
GUY;Guyana;MtCO2e;Tem.76;Tem.93;Tem.92;Aðu.72;9.Þub;Eyl.72;Eyl.98;Eki.27;Eki.41;Eki.40;10.Tem;Eki.82;Eki.72;11.Oca;Kas.29;Eki.93;Eki.74;11.May;Kas.20;Kas.23;Kas.49;19.20;19.44;19.60;19.81;19.96;17.38;17.48;17.62;17.95;18.81;18.61
GEO;Georgia;MtCO2e;31.33;21.78;14.39;Aðu.86;Oca.70;-1.36;-2.88;-3.70;-4.18;-4.43;-4.02;Aðu.27;Tem.72;Aðu.25;Aðu.32;Aðu.87;Eyl.23;10.00;9.Eki;Eyl.86;Eyl.59;14.28;15.14;16.16;16.81;17.16;17.54;17.49;17.14;17.89;17.68;18.16
BGR;Bulgaria;MtCO2e;76.47;59.48;53.66;52.22;48.27;49.49;50.06;46.98;43.39;36.58;36.03;36.59;33.91;38.77;37.53;37.52;37.47;41.67;39.26;31.77;33.42;50.75;45.00;39.85;42.43;45.13;20.58;22.72;19.49;17.66;Ara.57;18.15
TJK;Tajikistan;MtCO2e;17.85;16.85;13.98;11.Ara;Aðu.61;8.00;Tem.35;Tem.59;Tem.51;7.Þub;Haz.65;Haz.29;Haz.32;Haz.47;7.Þub;7.Eyl;Tem.58;Aðu.29;Aðu.67;Aðu.35;Aðu.44;Aðu.66;Eyl.46;Eyl.88;Kas.42;12.Þub;13.Eki;14.49;15.89;17.29;17.83;17.82
HRV;Croatia;MtCO2e;27.90;21.33;22.28;22.98;22.99;24.28;24.23;25.Haz;24.95;25.32;24.31;25.19;26.22;27.34;27.Haz;27.Þub;27.73;29.25;28.44;25.88;25.32;24.39;22.39;21.30;20.50;21.Kas;18.33;18.98;17.89;17.98;17.Tem;17.74
GHA;Ghana;MtCO2e;21.39;21.44;21.86;22.00;22.30;22.67;23.75;24.98;28.60;27.27;27.59;61.61;62.79;63.37;62.49;64.73;66.01;66.26;66.00;67.24;68.89;54.62;56.45;58.72;58.28;59.96;May.99;Tem.99;Eyl.68;Kas.63;15.38;17.20
EST;Estonia;MtCO2e;40.93;37.83;28.53;23.21;23.19;21.13;21.94;21.53;20.23;19.64;19.21;19.49;19.Aðu;20.97;21.20;21.Tem;20.42;24.13;21.86;18.42;22.97;18.Kas;16.63;18.56;17.26;14.13;23.59;24.50;23.48;17.81;14.79;16.Þub
SVN;Slovenia;MtCO2e;Tem.99;Haz.84;Haz.62;Tem.36;Tem.42;Aðu.24;9.Nis;Eyl.51;Eyl.25;Aðu.60;Aðu.40;Tem.20;Tem.28;Tem.25;Tem.45;Tem.70;8.Mar;8.00;Aðu.98;7.00;Tem.30;16.14;15.52;14.89;13.39;13.49;17.28;17.46;17.33;16.88;15.65;15.92
LBR;Liberia;MtCO2e;14.36;14.25;14.28;14.27;14.26;14.27;14.17;14.22;14.30;14.20;14.24;14.23;14.26;14.41;14.44;14.50;14.83;14.60;14.60;15.60;14.87;15.May;15.16;15.16;15.43;16.22;15.Nis;15.Haz;14.97;15.66;15.25;15.26
KGZ;Kyrgyzstan;MtCO2e;31.40;28.97;21.52;16.72;Kas.58;Aðu.89;Eyl.79;Eyl.67;Eyl.90;Aðu.52;Aðu.44;Aðu.87;Eyl.84;Eki.47;Eki.62;Eki.31;Eki.43;Kas.64;Ara.73;Ara.38;12.Eyl;Ara.79;15.41;14.90;15.53;15.87;Ara.90;Ara.72;14.85;13.66;Ara.88;14.15
MDA;Moldova;MtCO2e;37.91;31.74;26.89;23.46;20.37;18.33;16.54;14.87;13.40;12.Nis;Kas.19;Eki.72;Eki.86;Kas.46;Kas.44;Kas.75;Kas.41;Kas.63;Kas.50;Eki.82;Kas.73;Ara.45;Ara.19;Kas.32;Kas.95;Ara.18;Ara.94;Ara.93;13.47;13.63;13.19;14.Eki
SUR;Suriname;MtCO2e;May.90;Haz.26;Haz.36;Haz.38;Haz.42;Haz.51;Haz.62;Haz.60;Haz.66;Haz.69;6.00;Haz.40;May.84;6.Haz;Haz.39;Haz.61;Haz.54;Haz.45;Haz.63;Haz.75;7.Eki;Kas.64;12.Kas;Kas.97;Ara.37;Ara.46;13.86;13.35;Ara.99;13.58;13.55;13.52
SLV;El Salvador;MtCO2e;Tem.94;Aðu.73;9.Kas;Eyl.58;Eki.20;Eki.46;Eki.41;Kas.27;Kas.39;Kas.60;Kas.20;Kas.84;12.Aðu;Ara.65;13.Oca;13.40;13.88;14.45;13.89;13.52;13.27;13.18;13.34;Ara.60;Ara.86;13.33;13.26;Ara.39;Ara.80;13.66;Ara.35;13.39
GNQ;Equatorial Guinea;MtCO2e;4.Nis;Nis.20;May.43;May.57;May.70;May.85;Haz.16;Tem.52;Aðu.58;Eki.24;Eyl.36;Kas.54;Kas.15;Ara.19;15.89;16.34;16.26;16.88;16.Eki;14.27;14.62;13.88;13.91;13.74;15.50;14.67;14.Kas;13.22;Ara.87;Ara.66;Ara.50;Ara.26
BRN;Brunei;MtCO2e;May.98;Haz.19;Haz.49;Haz.92;Tem.23;Tem.61;Tem.75;Aðu.36;Kas.73;Tem.44;Tem.86;Tem.81;Tem.78;Aðu.93;Aðu.38;Aðu.24;Eki.96;Eki.46;Kas.35;11.Ara;Eki.41;Eyl.75;Eyl.70;Eyl.49;Eyl.45;Aðu.64;Eyl.37;Eyl.76;10.May;Eyl.87;12.Haz;12.Nis
LVA;Latvia;MtCO2e;15.Eyl;13.17;Eki.60;Tem.43;Nis.46;Þub.89;Þub.89;Þub.34;Oca.95;Oca.41;0.88;0.20;0.25;0.55;0.58;0.78;Oca.35;Oca.81;Oca.52;0.75;Oca.94;Ara.46;Ara.28;Ara.20;12.Eki;Ara.15;Kas.85;Kas.78;Ara.33;Ara.17;Kas.53;Kas.68
ARM;Armenia;MtCO2e;24.52;25.Tem;14.81;Aðu.65;Haz.13;Haz.70;May.61;Haz.31;Haz.27;May.74;6.Ara;Haz.22;May.90;Haz.32;Haz.71;Tem.44;Tem.84;Aðu.49;9.Oca;Tem.87;Tem.69;8.Ara;9.Ara;9.Haz;9.May;9.Aðu;Eyl.45;Eyl.29;Eyl.48;Eyl.91;Eki.46;11.Aðu
HTI;Haiti;MtCO2e;May.41;May.63;6.Nis;May.68;May.17;May.96;Haz.24;Haz.67;Haz.81;Haz.94;Tem.45;Tem.62;Tem.89;Tem.93;Tem.79;Tem.89;Tem.97;Aðu.37;Aðu.43;Aðu.46;9.Oca;Eyl.91;Eyl.70;Eyl.99;Eki.43;Eki.75;Eki.99;11.Þub;Eki.91;11.Eyl;Eki.95;Eki.99
SLE;Sierra Leone;MtCO2e;Haz.50;Haz.48;Haz.47;Haz.54;Haz.51;Haz.37;6.Haz;6.Tem;Haz.16;May.90;May.89;6.Aðu;Haz.50;7.Eyl;Tem.36;Tem.48;Aðu.60;Tem.82;Tem.62;Tem.90;Tem.95;Aðu.42;Eyl.28;Eyl.44;Eyl.82;Eyl.91;Eyl.83;Eyl.78;Eki.27;Eyl.33;Eyl.47;Eki.23
MKD;North Macedonia;MtCO2e;13.97;13.17;Ara.44;Ara.45;Kas.99;Kas.60;13.17;12.Oca;Ara.76;Kas.83;Kas.50;Kas.51;Eki.91;Kas.68;Kas.48;Kas.77;Kas.77;Ara.27;12.Haz;Kas.37;Kas.25;Ara.14;Kas.71;Eki.79;Eki.42;Eki.15;10.Mar;Eki.53;10.Oca;Eki.90;Eyl.75;Eyl.72
TGO;Togo;MtCO2e;Haz.23;6.Haz;May.76;May.63;May.90;May.87;Haz.49;Haz.25;Tem.21;Tem.62;7.Ara;Nis.97;May.39;6.Nis;May.81;Haz.68;Haz.15;May.84;Haz.16;Tem.66;Tem.46;Tem.96;Tem.52;Tem.45;Haz.99;Tem.76;Aðu.18;Tem.99;Aðu.38;Aðu.54;Eyl.24;Eyl.33
MRT;Mauritania;MtCO2e;Haz.16;Haz.36;Haz.17;Haz.34;Haz.21;Haz.23;Haz.72;7.Oca;Tem.37;Tem.83;Aðu.23;Aðu.31;Aðu.29;Aðu.42;Aðu.34;Aðu.45;Aðu.82;Aðu.81;Aðu.15;Aðu.73;Eyl.24;Eyl.23;Eyl.47;Eyl.66;Eyl.82;10.Haz;Aðu.61;Aðu.62;Aðu.71;Aðu.98;Aðu.98;Eyl.22
LUX;Luxembourg;MtCO2e;Kas.55;12.Nis;Kas.73;Kas.94;11.Eyl;Aðu.95;9.Mar;Aðu.53;Tem.86;Aðu.25;Aðu.89;Eyl.49;Eki.28;Eki.70;Ara.15;Ara.39;Ara.18;Kas.60;Kas.52;Eki.93;Kas.52;Kas.66;Kas.43;Eki.92;Eki.40;Eyl.89;Eyl.56;Eyl.74;10.Mar;Eki.21;Aðu.54;Aðu.90
ALB;Albania;MtCO2e;Kas.37;9.Þub;Haz.97;Haz.94;Tem.75;Tem.59;Tem.32;Haz.59;Haz.82;8.Mar;Aðu.42;7.00;Tem.64;8.May;8.Ara;Tem.89;Tem.80;Tem.88;Tem.61;Tem.68;8.Ara;Aðu.78;Aðu.22;Aðu.45;Aðu.89;Aðu.56;Aðu.95;Eyl.68;Eyl.43;Aðu.95;Aðu.39;Aðu.59
JAM;Jamaica;MtCO2e;Eyl.35;Eyl.34;Eki.15;Eki.35;Eki.39;Eki.73;11.Tem;Kas.22;Kas.77;12.Eyl;Ara.20;Eyl.34;Eyl.52;Eyl.94;Eyl.85;Eyl.81;11.Þub;Eki.95;Aðu.54;Haz.80;Haz.40;Eyl.14;Aðu.62;9.Aðu;Aðu.89;Aðu.79;Eyl.23;Aðu.93;Eki.35;Eki.15;Tem.55;Aðu.16
RWA;Rwanda;MtCO2e;May.22;May.20;May.13;5.May;Nis.88;5.Tem;May.27;May.64;May.64;May.86;May.70;May.63;May.85;May.95;6.Haz;6.Ara;Haz.40;Haz.54;Haz.75;Haz.88;Tem.16;Haz.15;Haz.31;Haz.50;Haz.49;Tem.17;Haz.99;Tem.18;Tem.37;Tem.67;Tem.64;8.Nis
CYP;Cyprus;MtCO2e;May.37;May.90;Haz.32;Haz.60;Haz.85;Haz.74;Tem.13;Tem.21;Tem.54;Tem.82;8.Aðu;Tem.81;8.Nis;Aðu.71;Aðu.65;Aðu.76;Aðu.90;Eyl.23;Eyl.45;Eyl.27;Aðu.94;Aðu.64;Aðu.13;Tem.42;Tem.82;Tem.90;Aðu.35;Aðu.49;Aðu.31;Aðu.29;Tem.88;Tem.99
CRI;Costa Rica;MtCO2e;Eki.93;Kas.23;Ara.37;Ara.46;Ara.87;Ara.46;Ara.43;Ara.48;13.21;13.00;Ara.85;Eki.26;Eki.26;Eki.63;Eki.64;Kas.18;Kas.51;Ara.93;13.Haz;Ara.63;Ara.76;Haz.63;Haz.63;Tem.14;7.Eyl;7.Nis;Tem.85;Aðu.15;Aðu.45;Aðu.43;7.Eyl;Tem.69
BDI;Burundi;MtCO2e;Haz.49;Haz.55;Haz.54;Haz.52;Haz.42;Haz.58;Haz.62;Haz.69;Haz.73;Haz.83;Haz.88;Nis.75;Nis.75;Nis.73;Nis.78;Nis.85;5.Oca;5.Aðu;May.21;May.36;May.70;0.97;1.Nis;Oca.43;Oca.42;Oca.43;Haz.76;Tem.38;Tem.59;Tem.25;Tem.35;Tem.61
BLZ;Belize;MtCO2e;13.Kas;13.33;13.42;13.54;13.66;Ara.56;Kas.41;Eki.41;Eyl.42;Aðu.28;Tem.30;4.Mar;4.Ara;Nis.42;Mar.96;Nis.13;Nis.13;Nis.36;Nis.29;Nis.42;Nis.50;Tem.18;Haz.62;Haz.85;Haz.71;Haz.95;Haz.69;Haz.74;Haz.68;Haz.89;Haz.90;Haz.80
ERI;Eritrea;MtCO2e;4.Kas;4.Kas;Nis.82;Nis.42;Nis.60;Nis.72;May.28;May.77;May.72;May.90;6.Oca;May.73;May.68;May.82;May.86;May.85;May.65;May.95;May.89;May.94;May.87;6.Eki;Haz.17;Haz.19;Haz.23;Haz.25;Haz.39;Haz.43;Haz.55;Haz.59;Haz.65;Haz.71
MUS;Mauritius;MtCO2e;Þub.28;Þub.38;Þub.47;Þub.63;Þub.70;Þub.76;Þub.93;3.Nis;Mar.32;Mar.84;Nis.29;Nis.50;Nis.52;Nis.71;Nis.74;Nis.92;May.35;May.49;May.60;May.60;May.87;May.84;6.00;Haz.13;Haz.33;Haz.38;Haz.50;Haz.70;Haz.72;Haz.82;Haz.41;Haz.71
TLS;East Timor;MtCO2e;0.92;0.99;0.99;1.Þub;1.Eki;1.Ara;Oca.14;Oca.15;Oca.16;1.May;1.Ara;Þub.18;Mar.25;4.Eyl;Nis.87;May.85;Haz.21;Haz.50;Haz.88;Tem.20;Tem.50;Tem.39;Tem.38;Tem.26;Tem.25;Tem.18;7.00;Haz.82;Haz.56;Haz.54;Haz.18;Haz.21
LSO;Lesotho;MtCO2e;Þub.98;3.Mar;Mar.24;Mar.25;Mar.25;Mar.22;Mar.23;Mar.35;Mar.24;Mar.72;Mar.66;Mar.67;Mar.49;Mar.57;Mar.54;Mar.73;Mar.70;Mar.79;Mar.76;Mar.88;Mar.92;Nis.69;Nis.74;Mar.92;4.May;Mar.84;Mar.80;Nis.24;Mar.97;Mar.86;Mar.38;Nis.63
GNB;Guinea-Bissau;MtCO2e;Mar.19;Mar.20;Mar.24;Mar.27;Mar.29;Mar.32;Þub.97;3.Oca;Mar.23;Mar.58;Mar.28;Mar.59;Mar.75;Mar.76;Mar.65;Mar.54;Mar.92;Mar.94;Mar.77;Mar.78;Mar.95;Mar.86;Nis.43;Nis.13;Nis.22;Nis.44;4.Eyl;4.Oca;4.Eki;Nis.18;Nis.24;4.Aðu
BRB;Barbados;MtCO2e;Mar.47;Mar.51;Mar.41;Mar.37;Mar.56;Mar.62;Mar.71;Mar.94;Mar.97;4.Tem;Nis.19;4.Tem;4.Mar;4.Tem;4.Kas;Nis.14;Nis.16;Nis.19;Nis.50;Nis.41;Nis.27;Nis.37;Nis.26;Nis.29;Nis.15;Nis.14;Nis.16;Nis.15;Nis.18;Nis.22;Mar.81;Mar.93
MNE;Montenegro;MtCO2e;Nis.18;Mar.57;Mar.56;Mar.39;Mar.35;Mar.49;Mar.75;Mar.89;Mar.98;Mar.41;Mar.67;0.03;0.14;0.27;0.27;0.07;0.15;-0.07;0.37;-0.71;0.01;4.Mar;Mar.80;Mar.65;Mar.55;Mar.66;Mar.44;Mar.58;Mar.78;Mar.85;Mar.78;Mar.82
ISL;Iceland;MtCO2e;4.Haz;Mar.94;Mar.74;Mar.70;Mar.78;Mar.71;Mar.97;Mar.94;4.Aðu;4.May;4.Eyl;Mar.93;Mar.99;Mar.96;4.Þub;Mar.96;Nis.44;Nis.45;Nis.35;4.Mar;Mar.90;Mar.66;Mar.64;Mar.79;Mar.78;Mar.90;Mar.45;Mar.51;Mar.53;Mar.47;Mar.27;Mar.38
GMB;Gambia;MtCO2e;5.00;May.15;May.26;May.38;Nis.92;Nis.44;Nis.15;Mar.83;Mar.56;Mar.49;Mar.13;Þub.59;Þub.38;Þub.27;Þub.18;2.Mar;2.Ara;Þub.17;Þub.32;Þub.68;Þub.72;Þub.42;Þub.50;Þub.57;Þub.71;Þub.93;Þub.82;Þub.81;Þub.83;3.00;3.Mar;3.May
SWZ;Eswatini;MtCO2e;Þub.79;Þub.80;Þub.67;Þub.38;3.Mar;3.Þub;Þub.81;Þub.79;Þub.87;Þub.88;Þub.67;Þub.55;Þub.58;Þub.58;Þub.57;Þub.58;Þub.52;Þub.78;Þub.70;Þub.64;Þub.54;Þub.51;Þub.51;Þub.69;Þub.71;Þub.72;Þub.81;Þub.81;Þub.82;Þub.99;Þub.91;3.Nis
BHS;Bahamas;MtCO2e;Þub.23;Þub.31;Þub.18;2.May;2.Aðu;Þub.16;Þub.19;Oca.99;Þub.40;Þub.44;Þub.46;Þub.27;Þub.32;Þub.35;Þub.41;Þub.24;Þub.18;Þub.20;Þub.32;Þub.55;Þub.61;Þub.55;Þub.43;Þub.49;Þub.53;Þub.65;Þub.65;3.Oca;Þub.84;Þub.88;Þub.62;Þub.73
GRD;Grenada;MtCO2e;Oca.84;Oca.86;Oca.88;Oca.89;Oca.92;Oca.94;Oca.98;2.00;2.Mar;2.May;2.Haz;2.Aðu;2.Eki;2.Ara;2.Ara;Þub.15;Þub.16;Þub.19;Þub.21;Þub.22;Þub.24;Þub.24;Þub.27;Þub.32;Þub.26;Þub.29;Þub.31;Þub.33;Þub.37;Þub.41;Þub.37;Þub.39
MDV;Maldives;MtCO2e;0.20;0.21;0.28;0.26;0.26;0.32;0.35;0.41;0.39;0.51;0.55;0.58;0.71;0.63;0.80;0.74;0.90;0.94;1.Oca;1.Tem;Oca.13;Oca.20;Oca.36;Oca.37;Oca.62;Oca.60;Oca.81;Oca.94;Þub.22;Þub.50;Þub.23;Þub.34
MLT;Malta;MtCO2e;Þub.53;Þub.43;Þub.41;3.May;Þub.76;Þub.63;Þub.57;Þub.73;Þub.64;Þub.68;Þub.41;Þub.79;Þub.62;Þub.92;Þub.93;Þub.98;3.Haz;Mar.15;3.Eyl;Þub.90;3.Oca;Þub.99;Mar.16;Þub.83;Þub.84;Þub.16;Oca.87;2.Þub;2.Nis;Þub.14;2.Aðu;2.Tem
DJI;Djibouti;MtCO2e;0.94;0.95;0.96;0.98;0.99;1.May;1.Aðu;Oca.13;Oca.20;Oca.23;Oca.22;Oca.23;Oca.26;Oca.28;Oca.27;Oca.31;Oca.31;Oca.35;Oca.36;Oca.34;Oca.42;Oca.38;Oca.40;Oca.48;Oca.33;Oca.38;Oca.34;Oca.36;Oca.40;Oca.43;Oca.36;Oca.42
ATG;Antigua and Barbuda;MtCO2e;0.39;0.41;0.42;0.44;0.46;0.47;0.50;0.54;0.57;0.61;0.64;0.68;0.72;0.77;0.81;0.86;0.93;0.99;1.Mar;1.Aðu;1.Eyl;1.Eki;1.Ara;Oca.13;Oca.15;Oca.18;Oca.22;Oca.25;Oca.29;Oca.34;Oca.35;Oca.42
SYC;Seychelles;MtCO2e;0.22;0.24;0.24;0.26;0.28;0.28;0.32;0.36;0.38;0.40;0.38;0.41;0.44;0.44;0.48;0.48;0.49;0.51;0.52;0.56;0.56;0.53;0.55;0.54;0.59;0.64;0.71;0.72;0.76;0.76;0.77;0.78
